date;time;batch;tree id;treatment;replicate;X;Y;E;A;Ca;Ci;gsw;VPcham;VPDleaf;Q_out;comment
28/06/2023;18:03:57;1;BQ1;cooled;1;u;no;0,000899284;3,496385198;395,373129;296,7898582;0,062419673;2,299934924;1,428348866;0;outlier
28/06/2023;18:04:27;1;BQ1;cooled;1;u;no;0,000918973;3,558684808;395,2877097;297,0086854;0,063764026;2,30789043;1,429050244;0;outlier
28/06/2023;18:05:09;1;BQ1;cooled;1;u;no;0,00092898;3,535704504;395,3143667;298,7284505;0,064576743;2,296720634;1,426738054;0;outlier
28/06/2023;18:17:53;1;BQ2;cooled;1;v;no;0,000462576;1,871433563;397,5432581;293,146357;0,031287384;2,260590937;1,456970483;0;outlier
28/06/2023;18:19:14;1;BQ2;cooled;1;v;no;0,000473007;1,872902638;397,5326774;295,3072322;0,032043582;2,257878246;1,454841759;0;outlier
28/06/2023;18:31:30;1;BQ3;cooled;1;w;no;0,000110516;0,178167726;399,7236129;352,2094671;0,007407669;2,239631637;1,463746179;0;outlier
28/06/2023;18:32:18;1;BQ3;cooled;1;w;no;0,000105463;0,232247504;399,6642333;337,9848679;0,007041669;2,238578508;1,4693233;0;outlier
28/06/2023;18:33:31;1;BQ3;cooled;1;w;no;9,70E-05;0,27920993;399,6286333;322,2393535;0,006502902;2,243504684;1,462530909;0;outlier
28/06/2023;18:41:05;1;BQ3;cooled;4;x;no;9,70E-05;0,241055225;399,6481613;331,5811928;0,006506639;2,231194173;1,46248418;0;outlier
28/06/2023;18:41:26;1;BQ3;cooled;4;x;no;9,94E-05;0,28865547;399,5935161;318,9327236;0,006440928;2,2328224;1,513915368;0;outlier
28/06/2023;18:41:46;1;BQ3;cooled;4;x;no;2,46E-05;0,340543105;399,5671935;47,91231981;0,001574893;2,235542827;1,531092476;0;outlier
30/06/2023;15:21:34;1;BQ1;cooled;1;y;a;0,004214488;14,05648947;393,694;305,2331351;0,293861803;2,416472579;1,468309887;130,1002581;
30/06/2023;15:25:17;1;BQ1;cooled;1;y;a;0,004312645;14,7657478;393,4103871;303,096758;0,301869055;2,410943634;1,46466001;124,0331613;
30/06/2023;15:25:49;1;BQ1;cooled;1;y;a;0,004272044;14,97880532;393,3376452;300,9541165;0,298463541;2,419326663;1,466298909;120,4203226;
